LDR		01908nam  2200421 i 4500
001		ocm00999999
003		OCoLC
005		20151122075022.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141031t20142014ilua\\\\o\\\\\000\0\eng\d
020	\\	$z9781629500041
020	\\	$a9781629500058 (e-book)
020	\\	$z9781629500409 (EPUB)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$cCaPaEBR
049	\\	$aPALS-EBRARY
050	14	$aLB1025.3$b.S787 2014eb
082	04	$a371.1$223
100	1\	$aSturtevant, James Alan,$eauthor.
245	10	$aYou've gotta connect :$bbuilding relationships that lead to engaged students, productive classrooms, and higher achievement /$cby James Alan Sturtevant.
264	\1	$aChicago, Illinois :$bWorld Book, Inc.,$c2014.
264	\4	$c{copy}2014
300	\\	$a1 online resource (281 pages) :$billustrations
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
588	\\	$aDescription based on online resource; title from PDF title page (ebrary, viewed October 31, 2014).
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
650	\0	$aEffective teaching$vAnecdotes.
650	\0	$aEffective teaching$vHandbooks, manuals, etc.
655	\0	$aElectronic books.
776	08	$iPrint version:$aSturtevant, James Alan.$tYou've gotta connect : building relationships that lead to engaged students, productive classrooms, and higher achievement.$dChicago, Illinois : World Book, Inc., c2014 $h279 pages $z9781629500041
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10956411$zConnect to this resource:
907	\\	$a.b1771364x$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$gilu$h0$i0
910	\\	$aMARS
		
LDR		02136nam  2200481 i 4500
001		ocm00999999
003		OCoLC
005		20151122075029.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141104t20142014coua\\\\ob\\\\001\0\eng\d
020	\\	$z9781625760166
020	\\	$z9781616002773 (e-book)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
043	\\	$an-us---
049	\\	$aPALS-EBRARY
050	14	$aHD4461$b. A447 2014eb
082	04	$a363.6/10681$223
110	2\	$aAmerican Water Works Association.
245	10	$aWater utility capital financing /$cAmerican Water Works Association.
250	\\	$aFourth edition.
264	\1	$aDenver, Colorado :$bAmerican Water Works Association,$c2014.
264	\4	$c{copy}2014
300	\\	$a1 online resource (169 pages) :$billustrations.
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
490	1\	$aManual of Water Supply Practices ;$vM29
504	\\	$aIncludes bibliographical references at the end of each chapters and index.
588	\\	$aDescription based on print version record.
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
650	\0	$aMunicipal water supply$zUnited States$xFinance$vHandbooks, manuals, etc.
650	\0	$aWaterworks$zUnited States$xFinance$vHandbooks, manuals, etc.
650	\0	$aWater utilities$xFinance$zUnited States$vHandbooks, manuals, etc.
655	\0	$aElectronic books.
776	08	$iPrint version:$aAmerican Water Works Association.$tWater utility capital financing.$bFourth edition.$dDenver, Colorado : American Water Works Association, c2014 $hxiii, 154 pages $kAWWA manual ; M29.$z9781625760166 $w2014030193
830	\0	$aAWWA manual ;$vM29.
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10958051$zConnect to this resource:
907	\\	$a.b17715246$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$gcou$h0$i0
910	\\	$aMARS
		
LDR		01908nam  2200445 i 4500
001		ocm00999999
003		OCoLC
005		20151122075029.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141103t20142014sz\a\\\\o\\\\\001\0\eng\d
020	\\	$z9783908158967
020	\\	$a9783908158998 (e-book)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
049	\\	$aPALS-EBRARY
050	14	$aZ699.5.S3$b.W645 2014eb
082	04	$a025.065$223
100	1\	$aW{uml}ohlbier, F. H.,$eauthor.
245	14	$aThe evolution of meaning /$cFred H. W{uml}ohlbier.
264	\1	$aZurich-Durnten, Switzerland :$bTrans Tech Publications Ltd,$c2014.
264	\4	$c{copy}2014
300	\\	$a1 online resource (187 pages) :$billustrations.
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
490	1\	$aScience-Meets-Philosophy Forum ;$vNumber 2
500	\\	$aIncludes index.
588	\\	$aDescription based on online resource; title from PDF title page (ebrary, viewed November 3, 2014).
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
650	\0	$aInformation storage and retrieval systems$xScience.
650	\0	$aCosmology.
655	\0	$aElectronic books.
776	08	$iPrint version:$aW{uml}ohlbier, Fred H.$tEvolution of meaning.$dZurich-Durnten, Switzerland : Trans Tech Publications Ltd, c2014 $happroximately 187 pages $kScience-meets-philosophy forum ; Number 2.$z9783908158967
830	\0	$aScience-meets-philosophy forum ;$vNumber 2.
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10958098$zConnect to this resource:
907	\\	$a.b17715258$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$gsz $h4$i0
910	\\	$aMARS
		
LDR		01577nam  2200397 i 4500
001		ocm00999999
003		OCoLC
005		20151122075032.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141217t20122012enk\\\\\ob\\\\000\0\eng|d
020	\\	$z9781907585487
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
049	\\	$aPALS-EBRARY
050	14	$aRJ506.H9$bJ33 2012eb
100	1\	$aJacobs, Brian,$eauthor.
245	10	$aAttention deficit hyperactivity disorder /$cBrian Jacobs and Lorna Miles.
246	14	$aParenting a child with attention deficit hyperactivity disorder
264	\1	$aLondon :$bBAAF Adoption & Fostering,$c[2012]
264	\4	$c{copy}2012
300	\\	$a1 online resource (95 pages)
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
504	\\	$aIncludes bibliographical references.
588	\\	$aDescription based on online resource; title from PDF title page (ebrary, viewed December 17, 2014).
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
650	\0	$aAttention-deficit-disordered children.
655	\0	$aElectronic books.
700	1\	$aMiles, Lorna,$eauthor.
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10990250$zConnect to this resource:
907	\\	$a.b17715751$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$genk$h0$i0
910	\\	$aMARS
		
LDR		01663nam  2200421 i 4500
001		ocm00999999
003		OCoLC
005		20151122075032.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		141216t20122012enkad\\\ob\\\\000\0\eng|d
020	\\	$z9781907585432
